Year,Country of Residence,Month,Arrivals,Month_Num,Date
2008,NETHERLANDS,May,1297.0,5,2008-05-01
2008,NEW ZEALAND,May,836.0,5,2008-05-01
2008,NIGERIA,May,52.0,5,2008-05-01
2008,NORWAY,May,710.0,5,2008-05-01
2008,Others,May,13885.0,5,2008-05-01
2008,PAKISTAN,May,227.0,5,2008-05-01
2008,PAPUA NEW GUINEA,May,155.0,5,2008-05-01
2008,PERU,May,55.0,5,2008-05-01
2008,POLAND,May,151.0,5,2008-05-01
2008,PORTUGAL,May,74.0,5,2008-05-01
2008,RUSSIA,May,1261.0,5,2008-05-01
2008,SAUDI ARABIA,May,1319.0,5,2008-05-01
2008,SINGAPORE,May,8771.0,5,2008-05-01
2008,SOUTH AFRICA,May,195.0,5,2008-05-01
2008,SPAIN,May,1012.0,5,2008-05-01
2008,SRI LANKA,May,301.0,5,2008-05-01
2008,SWEDEN,May,689.0,5,2008-05-01
2008,SWITZERLAND,May,1078.0,5,2008-05-01
2008,TAIWAN,May,8618.0,5,2008-05-01
2008,THAILAND,May,2636.0,5,2008-05-01
2008,UNITED ARAB EMIRATES,May,937.0,5,2008-05-01
2008,UNITED KINGDOM,May,7300.0,5,2008-05-01
2008,USA,May,52864.0,5,2008-05-01
2008,VENEZUELA,May,29.0,5,2008-05-01
2008,VIETNAM,May,1330.0,5,2008-05-01
2008,ARGENTINA,June,38.0,6,2008-06-01
2008,AUSTRALIA,June,8554.0,6,2008-06-01
2008,AUSTRIA,June,709.0,6,2008-06-01
2008,BAHRAIN,June,303.0,6,2008-06-01
2008,BANGLADESH,June,125.0,6,2008-06-01
2008,BELGIUM,June,847.0,6,2008-06-01
2008,BRAZIL,June,135.0,6,2008-06-01
2008,BRUNEI,June,413.0,6,2008-06-01
2008,CAMBODIA,June,188.0,6,2008-06-01
2008,CANADA,June,5911.0,6,2008-06-01
2008,CHINA,June,12038.0,6,2008-06-01
2008,COLOMBIA,June,29.0,6,2008-06-01
2008,DENMARK,June,726.0,6,2008-06-01
2008,EGYPT,June,93.0,6,2008-06-01
2008,FINLAND,June,250.0,6,2008-06-01
2008,FRANCE,June,1465.0,6,2008-06-01
2008,GERMANY,June,3895.0,6,2008-06-01
2008,GREECE,June,152.0,6,2008-06-01
2008,GUAM,June,4816.0,6,2008-06-01
2008,INDIA,June,2687.0,6,2008-06-01
2008,INDONESIA,June,2650.0,6,2008-06-01
2008,IRAN,June,520.0,6,2008-06-01
2008,IRELAND,June,481.0,6,2008-06-01
2008,ISRAEL,June,276.0,6,2008-06-01
2008,ITALY,June,1018.0,6,2008-06-01
2008,JAPAN,June,28069.0,6,2008-06-01
2008,JORDAN,June,57.0,6,2008-06-01
2008,KOREA,June,52711.0,6,2008-06-01
2008,KUWAIT,June,440.0,6,2008-06-01
2008,LAOS,June,79.0,6,2008-06-01
2008,LUXEMBOURG,June,30.0,6,2008-06-01
2008,MALAYSIA,June,5492.0,6,2008-06-01
2008,MEXICO,June,93.0,6,2008-06-01
2008,MYANMAR,June,406.0,6,2008-06-01
2008,NEPAL,June,88.0,6,2008-06-01
2008,NETHERLANDS,June,1414.0,6,2008-06-01
2008,NEW ZEALAND,June,809.0,6,2008-06-01
2008,NIGERIA,June,63.0,6,2008-06-01
2008,NORWAY,June,1871.0,6,2008-06-01
2008,Others,June,14339.0,6,2008-06-01
2008,PAKISTAN,June,255.0,6,2008-06-01
2008,PAPUA NEW GUINEA,June,168.0,6,2008-06-01
2008,PERU,June,47.0,6,2008-06-01
2008,POLAND,June,109.0,6,2008-06-01
2008,PORTUGAL,June,56.0,6,2008-06-01
2008,RUSSIA,June,585.0,6,2008-06-01
2008,SAUDI ARABIA,June,1526.0,6,2008-06-01
2008,SINGAPORE,June,8433.0,6,2008-06-01
2008,SOUTH AFRICA,June,199.0,6,2008-06-01
2008,SPAIN,June,884.0,6,2008-06-01
2008,SRI LANKA,June,318.0,6,2008-06-01
2008,SWEDEN,June,1036.0,6,2008-06-01
2008,SWITZERLAND,June,1092.0,6,2008-06-01
2008,TAIWAN,June,10650.0,6,2008-06-01
2008,THAILAND,June,2599.0,6,2008-06-01
2008,UNITED ARAB EMIRATES,June,1218.0,6,2008-06-01
2008,UNITED KINGDOM,June,5939.0,6,2008-06-01
2008,USA,June,52165.0,6,2008-06-01
2008,VENEZUELA,June,35.0,6,2008-06-01
2008,VIETNAM,June,1285.0,6,2008-06-01
2008,ARGENTINA,July,29.0,7,2008-07-01
